Componente,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Componente 1,309.95,374.12,373.33,365.95,382.41,363.18,333.22,378.46,373.43,363.30
Componente 2,203.61,251.93,227.56,228.79,218.44,228.17,236.60,217.95,245.52,224.39
Componente 3,244.01,285.77,298.28,295.27,263.54,308.37,293.79,291.70,261.41,301.46
Componente 4,221.66,259.13,267.48,260.33,264.29,253.62,277.55,240.24,275.19,258.40
Componente 5,345.93,417.87,421.96,438.64,436.07,373.77,370.65,379.07,438.46,377.79
Componente 6,216.21,257.43,232.46,238.43,249.93,273.26,262.51,260.16,234.50,233.73
Componente 7,185.45,227.08,211.24,218.28,208.08,231.18,227.54,213.89,225.10,204.53
Componente 8,271.18,335.13,314.58,311.87,327.84,294.08,321.25,343.28,338.00,303.31
Componente 9,147.53,168.69,166.57,168.59,171.43,176.95,175.68,163.51,175.37,182.57
Componente 10,297.16,323.28,351.69,330.76,334.10,352.85,375.31,339.90,360.33,359.71
